initial_request,clarification_need
Tell me about Obama family tree.,2
What is Fickle Creek Farm,2
Tell me about sonoma county medical services.,2
Tell me about of Ralph Owen Brester.,1
I'm looking for information about mayo clinic Jacksonville FL,2
How to prepare for the GMAT?,2
I'd like to learn about lymphoma in dogs,2
Is Kenmore heater good,2
Tell me more about HP mini 2140,2
Tell me about the pacific northwest laboratory.,2
What is California Franchise Tax Board,2
What are specific dangers of asbestos?,2
How to write a thank you letter after an interview?,1
how to hire disc jockey,2
TV on computer,3
Tell me more about Culpeper National Cemetry,3
Tell me about Bowflex Power Pro.,2
butter and margarine,3
I'm looking for information on duchess county tourism,3
Tell me information about Iowa's food stamp program,2
map,3
What is equal opportunity employer?,2
I'm interested in mothers day songs,2
Tell me about source of the nile,4
Tell me about american military university.,2
tell me about rock and gem shows,2
I'm looking for information on jax chemical company,3
I'm interested in dinosaurs,4
Information about east ridge high school.,3
How to register dmv in va?,1
Tell me more on health clubs in Arkansas,2
where can I buy a trombone?,2
Tell me about vines for shade.,4
What can I do in sherwood regional library,3
tell me about tangible personal property tax,2
What is martha stewart and imclone?,2
Tell me about uplift at yellowstone national park,2
Give me espn sports information.,1
Tell me about Pocono,2
figs,4
I need information about the University of Phoenix.,3
How should I use the septic system design,3
Find information on Porterville.,3
I'm looking for information about game and fish in Arizona.,2
What are the best recepies for grilling,3
Tell me more about dnr,2
What to do in Arkansas,3
Tell me about Barbados.,3
What are the causes of lipoma tumors,2
Find information on hip fractures,3
What are signs of a heartattack?,1
Tell me about weather stripping,3
what is the best long term care insurance,2
Tell me about black history.,2
Tell me about hotels in New York.,2
Tell me about kansas city mo,3
How do I get my free annual credit report?,1
tell me about UNC,4
Tell me about vanuatu,3
Tell me about Internet phone serices.,3
Find information about the gs pay rate,1
Take me to the current.,1
Tell me information about a sore throat.,2
tell me about idaho state flower,1
Tell me more about indiana state fairgrounds.,3
Tell me about fybromyalgia,2
Find information on French Lick Resort and Casino.,3
Tell me information about Volvo.,2
I'm looking for information on Rick Warren.,2
What is yahoo,2
How can I lower my heart rate?,2
I'm interested in InuYasha,3
Tell me about ps 2 games?,3
How to get organised?,2
Find me information about diabetes education,2
Find information about atari,2
I'm looking for information on web design and hosting.,3
Find information about elliptical trainer,2
Tell me about cell phones.,3
Which gps receiver I should buy,3
How can I adopt a dog,3
Give me information about Disneyland hotel.,2
How to change the toilet in the house,3
what are the popular jobs in Michigan,3
I���������m lo,3
Find information about the secret garden.,3
Give me information about Alexian Brothers hospitals.,2
tell me about wilson antenna,2
I'm looking for flame designs,3
Find information about Mitchell College.,4
Info on dog heat?,2
Tell me about avp,4
discovery channel store,3
I'm looking for information on the president of the united states,2
tell me about iron,4
tell me about uss yorktown charleston SC,1
tell me about ct jobs,2
Find information about penguins.,3
how to build a fence?,1
Tell me more on Kansas city railroad,2
Tell me about Bellevue.,4
I���������m looking,4
Find information about flushing.,4
Tell me about Korean language.,3
I need information on income tax return online,1
I'm looking for information on VLDL levels,2
Find me information about PVC,4
Find sewing instructions for me,3
to be or not to be that is the question,4
Find information about the sun.,4
Tell me about Neil Young.,3
Find information about tornadoes,2
Information about bobcat,4
I'm looking for keyboard reviews,3
Tell me about Afganistan.,3
I'd like to learn about joints,4
what are continental plates,3
Where can I find information about forearm pain?,3
Give me information on OCD.,2
I am looking for sources of used car parts.,2
tell me about mgb,4
Information about raffles,4
tell me about rice?,4
I'm looking for information about South Africa,2
Find me information on sat,3
Tell me more about satilies,3
What is average charitable donation?,2
What is Madagascar known for?,3
Tell me about kids earth day activities,2
What was electoral college 2008 results?,1
What is USDA food pyramid,1
Tell me about making chicken soup from scratch.,1
i will survive lyrics,2
Tell me more about Hawain volcanos,3
what are the seven deadly sins,1
I'm looking for information on hurricane Irene flooding in manville nj,2
tell me about symptoms of mad cow disease in humans,1
Let's see frank lloyd wright biography,1
How to use wiki?,4
Tell me about civil war battles in South Carolina,2
How is identifying spider bites?,2
tell me about evidence for evolution,1
Give me information about tribe formerly living in alabama,1
Find symptoms of heart attack,1
How can I view my internet history?,2
where to find morel mushrooms,1
I'm looking for information on common schizophrenia drugs,2
I'm looking for information on recycling lead acid batteries,3
Where can I find cheap internet,3
Tell me about madam cj walker,3
Child support in Indiana?,2
Tell me about the sit and reach test.,2
What are characteristics of Uranus,3
Tell me about electronic skeet shoot.,2
How can one can become highway patrol,3
What is a 403b?,2
Find me information about the Last Supper painting.,4
I'm looking for information on the beatles rock band,3
Tell me about furniture for small spaces.,2
I'm interested in poker tournaments,2
Tell me about scooters.,4
Tell me about ron howard.,2
I'm looking for information on becoming a paralegal,2
How to cook pork tenderlion,3
I���������m,3
How can I quick smoking,4
I���������m interested,3
Find condos in Florida.,3
Tell me about designer dog breeds.,2
Looking for information about the Orange County Convention Center,2
Tell me more about USA tax for annuity,4
Tell me about texas border patrol.,2
I'd like to learn about moths,3
Give me air travel information.,3
Find information on raised gardens.,3
I'm looking for information on dieting,3
tell me about bart sf,3
who invented music,3
Tell me about er television show.,2
Find information about the wall,4
Give me information about Titan.,4
Find me reviews of the les Miserables.,2
tell me about dark chocolate health benefits,1
Tell me bio of george bush sr.,2
Tell me more about us presidents,3
Tell me about folk remedies for a sore throat.,1
How do you tie a Windsor knot?,1
